"x"
"1d"
"1wk"
"1mo"
"1h"
"1m"
"1m"
"2m"
"5m"
"15m"
"30m"
"60m"
"90m"
"1m"
"1m"
"2m"
"5m"
"15m"
"30m"
"60m"
"90m"
"1m"
"1m"
"2m"
"5m"
"15m"
"30m"
"60m"
"90m"
